City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,kavieng,-2.5744,150.7967,85.66,67,68,11.74,PG,1635033267
85,aljezur,37.3191,-8.8033,60.31,68,11,5.73,PT,1635033269
86,longyearbyen,78.2186,15.6401,19.24,73,20,4.61,SJ,1635033272
87,puerto ayora,-0.7393,-90.3518,69.26,87,90,9.22,EC,1635033250
88,dobre miasto,53.9867,20.3975,36.28,74,99,6.55,PL,1635033070
89,bluff,-46.6,168.3333,52.05,95,100,2.24,NZ,1635033278
90,saint-joseph,-21.3667,55.6167,73.76,82,28,5.55,RE,1635033280
91,srandakan,-7.9386,110.2506,80.33,79,80,4.23,ID,1635033287
92,kaitangata,-46.2817,169.8464,57.09,72,100,3.49,NZ,1635033289
93,luganville,-15.5333,167.1667,83.28,75,38,8.93,VU,1635033291
94,mar del plata,-38.0023,-57.5575,53.87,68,40,1.99,AR,1635033294
95,dikson,73.5069,80.5464,8.69,87,100,13.58,RU,1635033296
96,fortuna,40.5982,-124.1573,64.09,79,20,5.99,US,1635033298
97,atuona,-9.8,-139.0333,78.35,77,13,17.65,PF,1635033245
98,zhuhai,22.2769,113.5678,69.06,82,40,18.41,CN,1635033303
99,ati,13.2154,18.3353,86.88,21,24,10.04,TD,1635033305
100,kodiak,57.79,-152.4072,42.55,92,100,18.97,US,1635033308
101,husavik,66.0449,-17.3389,33.71,96,100,4.47,IS,1635033312
102,acapulco,16.8634,-99.8901,75.0,92,100,10.6,MX,1635033147
103,palmer,42.1584,-72.3287,54.03,61,75,4.61,US,1635033319
104,cape town,-33.9258,18.4232,56.12,74,0,1.14,ZA,1635033321
105,santa rita,-7.1139,-34.9781,81.27,78,20,8.05,BR,1635033323
106,lata,40.1629,-8.3327,58.82,66,21,2.35,PT,1635033326
107,nipawin,53.3668,-104.0009,39.24,70,40,12.66,CA,1635033330
108,hasaki,35.7333,140.8333,59.4,50,9,5.53,JP,1635033332
109,pauini,-7.7136,-66.9764,83.25,66,89,2.08,BR,1635033335
110,tema,5.667,-0.0166,78.24,84,74,4.47,GH,1635033339
111,pokhara,28.2333,83.9833,62.38,65,47,4.83,NP,1635033072
112,verkhnetulomskiy,68.6073,31.7962,23.13,85,86,6.29,RU,1635033344
113,san patricio,28.017,-97.5169,84.29,66,6,10.6,US,1635033346
114,hilo,19.7297,-155.09,84.27,69,75,6.91,US,1635033135
115,alofi,-19.0595,-169.9187,76.89,57,88,18.41,NU,1635033350
116,petropavlovsk-kamchatskiy,53.0452,158.6483,36.19,81,75,2.24,RU,1635033352
117,victoria,22.2855,114.1577,69.33,76,85,5.99,HK,1635033261
118,rundu,-17.9333,19.7667,79.18,42,94,4.25,NA,1635033357
119,sitka,57.0531,-135.33,46.29,71,75,9.22,US,1635033170
120,pacific grove,36.6177,-121.9166,66.97,80,51,1.01,US,1635033360
121,aklavik,68.2191,-135.0107,30.92,80,75,6.91,CA,1635033363
122,shepsi,44.0361,39.1489,60.13,68,53,4.61,RU,1635033368
123,evensk,61.95,159.2333,14.77,69,93,11.25,RU,1635033370
124,taylor,32.3001,-99.8337,83.93,49,1,5.01,US,1635033154
125,saint-philippe,-21.3585,55.7679,74.75,84,48,11.54,RE,1635033376
126,honiara,-9.4333,159.95,87.31,59,48,3.91,SB,1635033379
127,tateyama,34.9833,139.8667,63.1,52,62,7.56,JP,1635033381
128,new norfolk,-42.7826,147.0587,52.66,78,100,4.0,AU,1635033258
129,foki,56.693,54.3499,37.9,86,42,5.01,RU,1635033385
130,bambous virieux,-20.3428,57.7575,74.21,83,40,11.5,MU,1635033257
131,zhicheng,30.2956,111.5047,54.57,59,33,2.66,CN,1635033390
132,batagay-alyta,67.8006,130.4114,5.14,96,100,2.71,RU,1635033392
133,maningrida,-12.0667,134.2667,88.93,56,32,9.06,AU,1635033394
134,oak harbor,48.2932,-122.6432,56.57,86,99,8.01,US,1635033397
135,khatanga,71.9667,102.5,9.66,90,100,16.67,RU,1635033260
136,konya,38.1667,32.5,48.88,23,5,2.68,TR,1635033401
137,east london,-33.0153,27.9116,59.9,66,37,19.51,ZA,1635033351
138,camacha,33.0833,-16.3333,67.42,52,75,8.05,PT,1635033407
139,wajima,37.4,136.9,56.08,82,40,0.0,JP,1635033410
140,yanam,16.7333,82.2167,74.53,92,93,2.84,IN,1635033412
141,marquette,46.5333,-87.6335,40.77,73,98,7.74,US,1635033414
142,georgetown,5.4112,100.3354,78.89,88,20,1.99,MY,1635033304
143,rio grande,-32.035,-52.0986,58.95,92,100,10.33,BR,1635033419
144,pochutla,15.7432,-96.4661,80.82,86,84,5.12,MX,1635033421
145,sao mateus,-18.7161,-39.8589,72.19,89,24,5.37,BR,1635033423
146,aquiraz,-3.9014,-38.3911,82.49,78,8,11.14,BR,1635033426
147,santa rosa,14.3122,121.1114,79.11,90,100,8.21,PH,1635033204
148,whyalla,-33.0333,137.5833,58.89,58,75,14.97,AU,1635033430
149,khani,41.9563,42.9566,35.17,54,0,4.81,GE,1635033432
150,alfred,42.2542,-77.7906,44.51,86,62,4.0,US,1635033435
151,torbay,47.6666,-52.7314,59.68,97,90,13.8,CA,1635033367
152,mogadishu,2.0371,45.3438,78.96,83,8,10.11,SO,1635033439
153,ginir,7.1333,40.7,55.96,49,2,6.82,ET,1635033441
154,yar-sale,66.8333,70.8333,27.54,95,96,9.78,RU,1635033444
155,nainpur,22.4333,80.1167,62.67,75,4,1.34,IN,1635033446
156,redlands,34.0556,-117.1825,71.65,64,49,1.01,US,1635033448
157,tasiilaq,65.6145,-37.6368,29.03,93,100,7.4,GL,1635033450
158,gambela,8.25,34.5833,71.1,65,4,4.03,ET,1635033453
159,santa vitoria do palmar,-33.5189,-53.3681,56.64,94,100,5.95,BR,1635033363
160,dinguiraye,11.3,-10.7167,71.8,91,43,1.52,GN,1635033457
161,geraldton,-28.7667,114.6,61.21,82,19,1.14,AU,1635033251
162,kachug,53.9606,105.8817,34.32,91,100,2.06,RU,1635033461
163,guerrero negro,27.9769,-114.0611,68.94,70,1,18.03,MX,1635033464
164,mecca,21.4267,39.8261,79.48,59,0,0.69,SA,1635033458
165,tougue,11.4667,-11.6,68.81,92,53,2.71,GN,1635033468
166,port-gentil,-0.7193,8.7815,78.76,83,75,8.05,GA,1635033470
167,san quintin,30.4833,-115.95,64.98,70,35,20.94,MX,1635033473
168,jinchang,38.4953,102.1739,43.47,67,63,2.3,CN,1635033475
169,santa rosalia,27.3167,-112.2833,80.42,43,0,5.35,MX,1635033477
170,padang,-0.9492,100.3543,75.25,89,97,4.81,ID,1635033479
171,zhigansk,66.7697,123.3711,25.81,95,100,5.79,RU,1635033482
172,vila,42.0304,-8.1588,46.92,90,21,3.15,PT,1635033485
173,lisala,2.15,21.5167,70.21,99,94,1.34,CD,1635033294
174,gerash,27.6652,54.1371,66.2,76,0,2.28,IR,1635033489
175,ahipara,-35.1667,173.1667,63.73,87,77,7.96,NZ,1635033491
176,bilma,18.6853,12.9164,80.35,15,18,6.53,NE,1635033493
177,maraa,-1.8333,-65.3667,77.31,89,83,2.68,BR,1635033498
178,kruisfontein,-34.0033,24.7314,53.26,69,15,10.54,ZA,1635033322
179,cidreira,-30.1811,-50.2056,64.83,91,100,8.7,BR,1635033502
180,carnarvon,-24.8667,113.6333,69.87,83,0,8.05,AU,1635033504
181,humberto de campos,-2.5983,-43.4611,77.74,88,54,4.9,BR,1635033507
182,port macquarie,-31.4333,152.9167,82.89,64,10,16.96,AU,1635033509
183,pevek,69.7008,170.3133,9.23,93,100,6.58,RU,1635033381
184,port keats,-14.25,129.55,88.12,61,16,7.47,AU,1635033513
185,coari,-4.085,-63.1414,80.31,74,91,1.52,BR,1635033516
186,henties bay,-22.116,14.2845,58.86,93,2,9.31,NA,1635033518
187,airai,-8.9266,125.4092,73.51,46,57,1.41,TL,1635033384
188,punta alta,-38.8759,-62.0736,51.03,54,18,9.75,AR,1635033526
189,salta,-24.7859,-65.4117,70.09,52,46,4.0,AR,1635033529
190,rawson,-43.3002,-65.1023,59.61,24,66,24.45,AR,1635033375
191,cabo san lucas,22.8909,-109.9124,85.05,73,20,13.67,MX,1635033265
192,castro,-24.7911,-50.0119,61.38,92,100,5.68,BR,1635033537
193,gulbarga,17.3333,76.8333,71.4,84,91,3.6,IN,1635033539
194,tadine,-21.55,167.8833,76.32,74,12,14.45,NC,1635033542
195,arraial do cabo,-22.9661,-42.0278,71.56,88,0,20.71,BR,1635033544
196,gwadar,25.1216,62.3254,77.79,67,0,3.04,PK,1635033546
197,plettenberg bay,-34.0527,23.3716,54.09,80,50,7.09,ZA,1635033549
198,namibe,-15.1961,12.1522,63.91,75,77,8.03,AO,1635033553
199,sabya,17.1495,42.6254,83.82,69,4,2.73,SA,1635033555
200,george town,5.4112,100.3354,78.89,88,20,1.99,MY,1635033304
201,constitucion,-35.3333,-72.4167,51.1,86,0,14.32,CL,1635033562
202,valparaiso,-33.0393,-71.6273,62.24,48,0,6.91,CL,1635033564
203,wundanyi,-3.4019,38.364,60.98,77,78,0.56,KE,1635033566
204,mahebourg,-20.4081,57.7,74.25,83,40,11.5,MU,1635033569
205,severo-kurilsk,50.6789,156.125,40.78,83,70,12.48,RU,1635033571
206,raudeberg,61.9875,5.1352,48.87,81,100,14.0,NO,1635033573
207,opuwo,-18.0607,13.84,64.9,28,9,3.13,NA,1635033575
208,west bay,19.3667,-81.4167,82.99,83,40,1.99,KY,1635033578
209,karasjok,69.4719,25.5112,24.91,88,85,2.08,NO,1635033580
210,taltal,-25.4,-70.4833,58.59,80,19,4.94,CL,1635033582
211,quatre cocos,-20.2078,57.7625,74.08,73,84,13.22,MU,1635033585
212,touros,-5.1989,-35.4608,81.5,79,28,12.68,BR,1635033587
213,lhokseumawe,5.1801,97.1507,78.44,83,100,5.53,ID,1635033589
214,ostrovnoy,68.0531,39.5131,25.97,92,100,17.52,RU,1635033592
215,sunndalsora,62.6754,8.5515,41.05,83,100,12.39,NO,1635033594
216,paracuru,-3.41,-39.0306,82.42,77,33,11.07,BR,1635033596
217,shingu,33.7333,135.9833,58.19,46,22,3.58,JP,1635033598
218,sao gabriel,-30.3364,-54.32,58.32,97,80,10.31,BR,1635033601
219,karratha,-20.7377,116.8463,87.26,25,94,7.29,AU,1635033606
220,inongo,-1.95,18.2667,71.96,93,31,5.01,CD,1635033609
221,broken hill,-31.95,141.4333,60.33,44,0,13.38,AU,1635033611
222,kifri,34.6959,44.9661,69.4,23,33,3.0,IQ,1635033614
223,ambilobe,-13.2,49.05,73.38,91,17,2.95,MG,1635033617
224,deputatskiy,69.3,139.9,-2.51,98,100,2.35,RU,1635033620
225,marystown,47.1666,-55.1483,58.86,100,100,8.93,CA,1635033622
226,bubaque,11.2833,-15.8333,83.08,73,99,10.49,GW,1635033625
227,lazaro cardenas,17.9583,-102.2,78.28,87,88,6.17,MX,1635033628
228,the valley,18.217,-63.0578,82.54,69,40,10.36,AI,1635033367
229,kato lekhonia,39.3333,23.0333,65.55,73,24,2.04,GR,1635033632
230,matara,5.9485,80.5353,77.74,83,62,9.64,LK,1635033383
231,lagoa,39.05,-27.9833,66.56,63,6,12.62,PT,1635033641
232,souillac,-20.5167,57.5167,74.35,78,45,9.8,MU,1635033646
233,marawi,7.9986,124.2928,72.64,76,73,2.89,PH,1635033650
234,eenhana,-17.4667,16.3333,67.55,16,9,2.62,NA,1635033652
